set_english_name,pack_english_name,pack_german_name
Genetic Apex,Mewtwo,Mewtu
Genetic Apex,Pikachu,Pikachu
Genetic Apex,Charizard,Glurak
Mythical Island,Mew,Mew
Space-Time Smackdown,Dialga,Dialga
Space-Time Smackdown,Palkia,Palkia
Triumphant Light,Arceus,Arceus
Shining Revelry,Shining Revelry,Glänzendes Festival
Celestial Guardians,Lunala,Lunala
Celestial Guardians,Solgaleo,Solgaleo
Extradimensional Crisis,Extradimensional Crisis,Dimensionale Krise
Eevee Grove,Eevee,Evoli
Wisdom of Sea and Sky,Ho-Oh,Ho-Oh
Wisdom of Sea and Sky,Lugia,Lugia
Secluded Springs,Suicune,Suicune
Deluxepack,Deluxepack
Mega Rising,Altaria,Altaria
Mega Rising,Blaziken,Lohgock
Mega Rising,Gyarados,Garados
Crimson Blaze,Crimson Blaze,Feuerrote Flammen
